"0","summary(bacteria_sal_model)"
"1","
Call:
"
"1",""
"1","lm(formula = bacteriaMEAN ~ SalinityMEAN, data = pico1)"
"1",""
"1","

"
"1",""
"1","Residuals:
"
"1","     Min "
"1","      1Q "
"1","  Median "
"1","      3Q "
"1","     Max "
"1","
"
"1","-2594607 "
"1"," -929400 "
"1"," -313424 "
"1","  748636 "
"1"," 5152593 "
"1","
"
"1","
Coefficients:
"
"1","            "
"1"," Estimate"
"1"," Std. Error"
"1"," t value"
"1"," Pr(>|t|)"
"1","    "
"1","
(Intercept) "
"1","  3508648"
"1","     548596"
"1","   6.396"
"1"," 3.14e-10"
"1"," ***"
"1","
SalinityMEAN"
"1","    -4519"
"1","      16991"
"1","  -0.266"
"1","     0.79"
"1","    "
"1","
"
"1","---
Signif. codes:  "
"1",""
"1","0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1"
"1","
"
"1","
Residual standard error:"
"1"," "
"1","1329000"
"1"," "
"1","on"
"1"," "
"1","622"
"1"," "
"1","degrees of freedom"
"1","
"
"1","  ("
"1",""
"1","55 observations deleted due to missingness"
"1",""
"1",")
"
"1","Multiple R-squared: "
"1"," "
"1","0.0001137"
"1",",	Adjusted R-squared: "
"1"," "
"1","-0.001494"
"1"," "
"1","
F-statistic:"
"1"," "
"1","0.07074"
"1"," "
"1","on"
"1"," "
"1","1"
"1"," "
"1","and"
"1"," "
"1","622"
"1"," "
"1","DF,  p-value:"
"1"," "
"1","0.7904"
"1","
"
"1","
"
